FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
520, , ,Quebec,47,Arseneault,-77.32071225,52.98406312,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
521, , ,Quebec,48,Arseneault,-77.30013041,52.9597363,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
522, , ,Quebec,49,Arseneault,-77.28736479,52.9443295,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
523, , ,Quebec,50,Arseneault,-77.27311155,52.9240496,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
524, , ,Quebec,51,Arseneault,-77.26728245,52.90968477,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
525, , ,Quebec,52,Arseneault,-77.26265175,52.88881981,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
526, , ,Quebec,53,Arseneault,-77.27642791,52.87313045,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
527, , ,Quebec,54,Arseneault,-77.28588958,52.84795488,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
528, , ,Quebec,55,Arseneault,-77.28834148,52.84030433,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
529, , ,Quebec,56,Arseneault,-77.2969858,52.8178586,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
530, , ,Quebec,57,Arseneault,-77.306469,52.808374,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
531, , ,Quebec,58,Arseneault,-77.32903933,52.79520778,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
532, , ,Quebec,59,Arseneault,-77.3480302,52.789001,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
533, , ,Quebec,60,Arseneault,-77.35546844,52.77294145,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
534, , ,Quebec,61,Arseneault,-77.34773275,52.759021,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
535, , ,Quebec,62,Arseneault,-77.3443963,52.73066084,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
536, , ,Quebec,63,Arseneault,-77.34531615,52.71667465,"H??on, Jessie, Dominique Arseneault, and Marc-Andr?? Parisien. ""Resistance of the boreal forest to high burn rates.""?ßProceedings of the National Academy of Sciences?ß111, no. 38 (2014): 13888-13893."
